"","business_id","name","city","state","stars","review_count","categories","business_group"
"1","b_0","Steele, Hampton and Odonnell","Michaelbury","NV",2.5,351,"anything, week, if","A"
"2","b_1","Kim, Andrews and Joyce","East Susan","KY",4.8,267,"right","A"
"5","b_4","","East Thomasshire","GA",1.6,278,"hour, rest",""
"6","b_5","Dean, Martin and Grant","Bakerberg","DC",1.6,320,"success","B"
"8","b_7","Lee PLC","Jenniferchester","MD",4.5,287,"always",""
"9","b_8","Griffin Inc","Vargasfurt","WI",3.4,354,"join, could, statement","A"
"10","b_9","Harper, Faulkner and Smith","West Michael","IA",3.8,484,"executive","B"
"11","","Stout-Hendrix","Whiteport","CT",1.1,64,"PM, investment, across","A"
"13","b_12","Rodriguez Group","Harmonbury","TX",4.3,463,"moment, answer, reflect","B"
"14","b_13","Brooks Group","Sloanchester","NV",1.8,244,"pretty","A"
"18","b_18","Campbell, Brown and Glover","West Barbara","AK",2.7,362,"ago","A"
"21","b_21","Martin, Turner and Pena","Victoriashire","UT",1.6,284,"agent, prevent, boy","A"
"22","b_22","Jennings Ltd","Allisonmouth","ID",2.2,393,"hotel, black, ground","B"
"25","b_25","Patel-Osborne","South Katieberg","DC",4.1,192,"","B"
"26","b_26","Allen-Garcia","South Austinport","SD",1.8,70,"set, close, room","B"
"27","b_27","Camacho, Gregory and Cochran","Paulstad","VT",3.1,449,"age, high, above","A"
"29","b_29","Cruz and Sons","West Alexandra","UT",1.2,370,"","B"
"30","b_30","Liu-Wang","Lewisside","NE",3.4,224,"in, open","A"
"31","b_31","Elliott Inc","North Lori","ND",1.7,369,"consumer","B"
"32","b_32","Smith PLC","New Sandraport","RI",1.3,148,"enter, fast","B"
"33","b_33","Reed-Munoz","Lake Tonyfort","GA",4.8,440,"any, foot, least","B"
"37","b_38","Cruz-Hoffman","Cameronport","TN",3.7,482,"pass, she","A"
"39","b_40","Cook, Davis and White","Robinfort","GA",1.5,486,"state, serve","A"
"40","b_41","Sanchez-Gibson","North Danielshire","WY",3,96,"protect","A"
"41","b_42","Wilkins Inc","West Michaelmouth","CO",1.1,219,"result","B"
"42","b_43","Jackson, Williams and Byrd","West Katherine","CA",4.6,471,"rest, trouble","A"
"43","b_44","Newton, Woods and Webster","Gonzalezstad","SC",2,90,"her","A"
"45","b_47","","Lake Ruth","ME",3.1,348,"machine","B"
"46","b_48","Morales Ltd","Herreraview","CT",3.2,489,"but, visit","A"
"48","b_50","Haynes-Reed","Dickersonport","NM",4.9,447,"ten, analysis, partner","A"
"49","b_51","Parks-Brewer","North Randy","AL",4.1,357,"stage, represent","B"
"50","b_52","Sullivan-Rogers","Frederickhaven","AR",4.8,242,"individual","B"
"52","b_54","Harrell Group","Donnastad","UT",3.4,435,"east, so","B"
"53","b_55","Taylor PLC","North Lauraland","NY",4.7,178,"word, result, break","A"
"59","b_61","Roth-Kline","East Cynthia","MN",2.1,161,"spend, in, pay","A"
"60","b_62","Kim-Yang","Goodwinhaven","NC",4.3,47,"another, sound, until","A"
"62","b_64","Patterson-Norman","North Marcusberg","WV",2.1,390,"return, red, once","B"
"65","b_67","Jones LLC","Lake Charlesmouth","AK",4.2,284,"baby","A"
