"","business_id","name","city","state","stars","review_count","categories","business_group"
"3909","b_4030","Chandler Group","","NH",3.7,481,"ground","B"
"4211","b_4339","Cook-Anderson","New Brandon","ID",1.9,116,"million, heart","A"
"16137","b_16620","Powell, Medina and Kennedy","New Scott","KS",3.3,413,"environment, might","B"
"8108","b_8350","Owen, Francis and Franco","Fergusonburgh","MO",4.3,226,"when, eat, too","A"
"19289","b_19880","Clark-Banks","","DC",4.8,346,"respond, sister","A"
"1482","b_1531","Collier-Krause","Ellenton","SD",3.4,196,"send, again","A"
"6049","b_6227","Stewart, Perez and Jenkins","South Kevin","ME",4.9,340,"place, reality, future","B"
"18758","b_19330","King, Giles and Jackson","New Steven","FL",1.4,161,"into, front","A"
"13834","b_14261","Cruz, Navarro and Valenzuela","North Abigail","MA",4.3,415,"let, and","A"
"19284","b_19875","Scott-Fry","Wyattland","NH",1.7,151,"find","A"
"5211","b_5367","Harris LLC","Christophershire","DE",2.5,325,"bed","A"
"10365","b_10677","White, Dunn and Nguyen","East Stephanieside","OR",3.5,266,"raise, state, house","B"
"13644","b_14063","Murray-Wilson","Port Samuel","NM",2.9,129,"production","A"
"9827","b_10121","Huynh-Miller","Marshstad","RI",2,137,"perhaps, wish, pattern","B"
"1686","b_1743","Williams, Stark and Johnson","Jamiechester","KY",1,273,"age, because","A"
"1944","b_2008","Smith LLC","South Jessicaport","WA",1.3,408,"space","A"
"11960","b_12316","Vega, Barrett and Lopez","Port Tony","NV",2.7,370,"year, second, ability","A"
"16181","b_16666","Browning and Sons","New Leslie","UT",3.5,349,"husband, those","A"
"6136","b_6314","Silva, Smith and Wise","Port Amberberg","MT",2.1,33,"the, lawyer, debate",""
"17848","b_18389","Curtis-Hernandez","South Bradleyview","MN",3.9,323,"win","A"
"4823","b_4969","Hawkins-Pierce","","SD",2.7,411,"clearly","A"
"18593","b_19159","Marshall LLC","Judychester","IN",1.9,236,"next","A"
"3118","b_3216","Serrano, Hawkins and Hunt","Millerfort","NC",1.7,163,"","A"
"7591","b_7819","Luna Ltd","New Scott","NM",3.3,87,"I, former, rather","B"
"10895","b_11218","Mcbride PLC","Lake April","ID",2.7,62,"idea","B"
"4636","b_4776","Barrett PLC","Kevinmouth","AZ",1,437,"along, might, day","A"
"3165","b_3264","Cobb, Levine and Johnson","South Alicia","MI",4.2,437,"improve","B"
"9389","b_9673","Jones, Hughes and Davis","Carrollfort","NV",1.6,233,"camera, of, through","A"
"7422","b_7642","Thompson Group","South Kathy","TN",2.8,338,"class","B"
"2213","b_2283","Weaver LLC","Garciashire","NV",1.2,80,"lawyer, though, black","A"
"9440","b_9725","Howard-Jacobs","","TX",4.9,126,"baby, media, on","A"
"18337","b_18892","Oneill Group","Jonathanport","HI",3,95,"about, who","A"
"13060","b_13452","Frey, Thomas and Paul","Port Aprilland","ID",4.6,419,"","A"
"19109","b_19694","Lee Ltd","Riveraport","IN",3.9,378,"east, thank","B"
"13646","b_14065","Wyatt-Andrews","North Gerald","FL",4.5,62,"each, effort, note","B"
"3678","b_3795","Woods Inc","Port Jennifer","MS",3.6,320,"task, institution","B"
"9376","b_9658","Jordan-Nolan","Kevinburgh","NH",3.6,93,"trip, everything, interest","B"
"9989","b_10293","Ortiz-Ferrell","Michelleland","NC",3.7,246,"so, order","B"
"11577","b_11921","Barnes Inc","Gonzalesland","VA",1.9,127,"hospital","B"
"6531","b_6721","Evans, Barry and Lane","Lake Jasonfurt","GA",1.3,34,"job, eye","B"
"1822","b_1885","Cox-Willis","Fordmouth","NJ",2.8,307,"international, girl, participant","B"
"11891","b_12243","Russell-Esparza","Jenniferchester","RI",4.7,388,"whatever","B"
"13743","b_14166","Huffman PLC","New Daniel","MI",2.2,17,"agency","A"
"14596","b_15039","Ward, Miller and Carpenter","Port Erin","OR",2.7,102,"rise","A"
"1986","b_2051","Solomon Inc","Wilkersonside","WV",2.9,259,"human","A"
"12943","b_13330","Perkins, Sandoval and Allen","West April","MA",1.7,39,"way, message","A"
"7751","b_7984","","Tammyside","FL",2.8,392,"pull, while","A"
"18086","b_18636","Jackson-Hudson","Lake Crystal","ME",3.5,468,"happy","A"
"15401","b_15866","Le-Nolan","Wallerfort","VA",4.2,455,"candidate, every","B"
"15375","b_15839","Avila, Thomas and Williams","East Courtneyshire","MN",4.6,16,"resource, skin","A"
"7112","b_7323","Russo, Krause and Wilson","North Lisa","SC",3.8,140,"join, enter","A"
"15814","b_16291","Daniels-Hancock","Cherylville","NM",1.8,377,"act","B"
"10485","b_10801","Taylor and Sons","Gonzalesfort","VT",4.3,12,"own","A"
"2706","b_2788","Ellis and Sons","Danielland","",4.8,359,"chance, moment, when","A"
"15783","b_16259","Leonard and Sons","Port Angela","OR",3.9,73,"officer, official","A"
"8398","b_8647","Tate, Powell and Williams","Grahammouth","DC",1.4,491,"see, later, six","B"
"18542","b_19104","Price-Wang","Blackport","UT",2.8,196,"impact, apply, between","B"
"117","b_121","Key-Alvarez","Lake Joshua","WA",4.6,411,"couple, nor, risk","B"
"6115","b_6293","Wilson-Jackson","East Randallmouth","",2.3,364,"word","A"
"13588","b_14003","Reilly, Leach and Garcia","Sampsonstad","FL",2.9,111,"far, during","B"
"4139","b_4265","Lewis Inc","Gilbertberg","MA",2.8,471,"person","A"
"2971","b_3068","Stanton and Sons","North Danielland","PA",2,416,"item, town, into","A"
"17040","b_17554","Kirk Inc","Connietown","FL",4.7,35,"they","A"
"4046","b_4168","Payne-Schroeder","Port Jessica","ID",2.3,74,"enter, to","A"
"16862","b_17367","Dean-White","North John","MO",5,261,"step, husband","A"
"16704","b_17203","Smith Inc","North Jordanhaven","MN",2.5,446,"little","B"
"6946","b_7151","Hardy-Stephenson","Lake Jamesview","LA",1.4,442,"push","B"
"15413","b_15880","Cooper, Case and Smith","Meganfurt","TN",1.1,87,"best, together, while","B"
"386","b_398","Luna and Sons","Shanefort","SC",4,348,"","B"
"15621","b_16094","Newman-Torres","Lake Kristen","NY",4.5,170,"may","B"
"12829","b_13210","Maynard-Johnson","Port Michael","ID",3.7,293,"animal, occur","A"
"12495","b_12865","Perry, Mullins and Murphy","Rebeccamouth","TN",4.1,474,"country, sure, but","A"
"672","b_697","Daniel-Mcclain","Amberside","",3.3,52,"free","A"
"2357","b_2430","Barnett-Solis","Alexisstad","CA",3.4,252,"book, actually, kid","B"
"7727","b_7958","Perry, Henson and Lee","Hansenland","SD",1.6,183,"fund, energy","A"
"5263","b_5421","Moore Group","Colemanfurt","PA",2.2,210,"put, agreement","B"
"16624","b_17121","White-Evans","Nicholasborough","OH",3.1,376,"ground, sure","B"
"9303","b_9582","Mills, Carroll and Murphy","New Patricia","NY",1.6,187,"today","B"
"3994","b_4116","Wood-Lester","Lake Sarah","AK",4.7,293,"history","B"
"1454","b_1502","Moreno and Sons","East Jameschester","FL",1.1,108,"kind","A"
"3712","b_3829","Avila, Camacho and Dunn","East Nathan","CO",1.9,414,"bad","B"
"13883","b_14311","Mora, Pena and Oneill","Griffinmouth","RI",2.6,231,"type","B"
"18799","b_19372","Miles Group","Lake Marcusborough","VA",2.3,154,"describe, push, market","A"
"12134","b_12497","Hess Group","Stephenton","FL",3.2,73,"foot","A"
"6288","b_6468","Taylor Inc","Melanieside","CT",4.7,376,"draw, put",""
"16450","b_16939","Bryant, Johnson and Holloway","East Leslieton","MI",3.1,162,"","A"
"1597","b_1650","Mendez-Sanders","Salazarside","AL",1.1,134,"arm","A"
"3480","b_3590","Castro-Chang","East Jerryborough","TN",4.8,404,"sign, yourself, chair","A"
"13958","b_14389","Smith-Evans","West Veronica","AZ",2.2,385,"peace","B"
"15123","b_15580","Fernandez, Dougherty and Herrera","","CA",4.8,67,"time, argue, against","A"
